-1	-1	20	16	7	20	13	17	7	-1	16	14	18	13	6	17	10	16	18	8	13
-1	-1	16	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1
9	5	0	4	3	4	-1	24	1	51	-1	-1	12	-1	-1	-1	12	-1	-1	-1	-1
-1	-1	7	-1	-1	-1	-1	6	-1	-1	-1	-1	7	11	5	7	9	7	15	10	10
-1	-1	5	-1	-1	-1	-1	6	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	16	-1	-1
7	6	19	-1	-1	-1	-1	4	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	2	-1	-1
13	-1	18	-1	-1	-1	-1	2	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	2	-1	-1
19	-1	15	6	9	20	15	0	10	19	6	11	17	19	12	6	6	23	2	2	2
16	-1	20	-1	-1	-1	-1	14	-1	-1	-1	-1	11	-1	-1	-1	-1	32	-1	-1	-1
15	-1	17	-1	-1	-1	-1	14	-1	-1	-1	-1	5	-1	-1	-1	-1	4	-1	-1	-1
17	-1	12	-1	-1	-1	-1	15	-1	-1	-1	-1	16	-1	-1	-1	-1	5	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	19	32	4	5	6	7	2	4	21
9	-1	8	-1	-1	-1	-1	8	-1	-1	-1	-1	0	-1	-1	-1	-1	35	-1	-1	-1
9	-1	16	-1	-1	-1	-1	11	-1	-1	-1	-1	6	-1	-1	-1	-1	23	-1	-1	-1
8	-1	9	-1	-1	-1	-1	8	19	17	17	11	14	-1	-1	-1	-1	13	-1	-1	-1
9	-1	11	-1	-1	-1	-1	3	-1	-1	-1	-1	8	-1	-1	-1	-1	7	-1	-1	-1
13	6	12	-1	-1	-1	-1	4	-1	-1	-1	-1	9	-1	-1	-1	-1	6	-1	-1	-1
16	-1	8	-1	-1	-1	-1	6	-1	-1	-1	-1	9	-1	-1	-1	-1	23	-1	-1	-1
6	-1	19	-1	-1	-1	-1	7	-1	-1	-1	-1	12	-1	-1	-1	-1	12	-1	-1	-1
20	-1	18	-1	-1	-1	-1	3	-1	-1	-1	-1	8	-1	-1	-1	-1	1	-1	-1	-1
17	8	14	7	9	5	12	12	15	19	7	11	10	17	6	8	9	20	18	6	0
